EDO,NOMBRE_ESTADO,MUN,NOMBRE_MUNICIPIO,NUM_SECC_RUR,LNE,Densidad_LNE,Razon_LNE_PE,TC_LNE_2019,Coef_Var_LNE,Var_Prop_LNE,Autocorr_LNE,CP1 (ICE principal),CP2 (segundo ICE),CP3 (tercer ICE),CP4,CP5,CP6,CP7,Estrato,Atipicidad
5,COAHUILA,8,ESCOBEDO,1,2381.0,568.3380669369918,0.983285706624558,0.0773755656108597,0.0099705388518304,0.0247639779695894,0.6483918789534642,1.3196745180027498,0.9018103526517728,0.1136153689709668,0.1786040035676107,-0.274308208360893,0.6250339874094581,0.0987628524748213,G0,Tipica
5,COAHUILA,19,MORELOS,1,6784.0,993.7340266474428,0.9826102131088424,0.0644908206496155,0.006358122801276,0.0242064721696518,0.920423372725016,0.9216554780786697,0.8257590605655033,0.2589894519684719,0.2509164514652609,-0.720001671806555,-0.2835677394466003,0.0165154498341751,G0,Tipica
5,COAHUILA,20,MUZQUIZ,3,53375.0,7.539108066554051,0.980353953263297,0.0644556568214905,0.0067646361620595,0.0236228230052753,0.8273499319752115,1.105542684154212,0.7836996894882721,0.4736031663287151,0.2585407789949162,-0.158121347494871,-0.3665298158992169,0.5892660929775863,G0,Tipica
6,COLIMA,2,COMALA,6,16735.0,197.4919628117636,0.9879990384194118,0.0923629242819843,0.002956806763864,0.0321117541995992,0.621156151387333,0.2015458012219828,-0.1748641206712537,0.8404865373870123,-0.4872160937417693,-0.8350031233333746,0.3493155389059111,0.2466349698814351,G0,Tipica
6,COLIMA,10,TECOMAN,8,82286.0,696.582074884435,0.9891455056052756,0.0734590046311395,0.0018753327937026,0.0257211330391401,0.9482445956988822,-0.4561415056263017,0.0448275984033999,0.9992875885226632,0.2100696773519859,-1.0783091847497408,-0.1138243200590764,0.3943314509651934,G0,Tipica
6,COLIMA,6,ARMERIA,2,21236.0,2052.1308983180893,0.987451709664999,0.0579912315663611,0.0016479274565685,0.0219258337169554,0.6929203615727456,-0.4079787464014026,0.2522587121032745,-0.0064056110791274,-0.1980645960447268,-1.0553553192311325,-0.4015547859441803,-0.2588950498620914,G2,Tipica
6,COLIMA,7,IXTLAHUACAN,7,4986.0,26.8972718737532,0.9839738337962196,0.0761925318368228,0.0022617260063727,0.0299412697854395,0.3364675577634267,0.4057144466952005,-0.3424832961232641,0.4669120045182969,-0.7517830554637741,-0.1095542775333268,-0.175849336995651,0.2220392985999952,G0,Tipica
6,COLIMA,9,MINATITLAN,4,7385.0,70.64127982342838,0.9847476037064916,0.0841162654139753,0.0038781582627961,0.0298217495895166,-0.9481010282963072,0.1610129607138995,-0.7806657435465896,-0.8293869719776208,-2.124758575265677,1.3119343439026765,1.0180366588263996,0.3145448365997614,G2,Tipica
6,COLIMA,4,CUAUHTEMOC,4,22835.0,2107.4156372977754,0.9859431107427048,0.0761581601394976,0.0030815869530905,0.026810495204298,0.3029460225307408,-0.268659368772324,0.3766910733908418,-0.0116370968283308,-0.7679028336147576,-0.363853446389965,0.0983678742776573,-0.3511504821299687,G2,Tipica
6,COLIMA,5,VILLA DE ALVAREZ,4,101527.0,4134.640461808702,0.9881430567682292,0.0720568514197016,0.0029486724473331,0.0257290758870021,0.5170207659148104,-1.341737388663636,1.2320434117504373,-0.0507336259554819,-0.3901837864768855,-0.6931702272895283,0.0737070080295307,-0.6334302207580255,G1,Tipica
